important nonlinear data::important nonlinear data
def subtree postorder::def subtree postorder
subtrees code fragment::subtrees code fragment
performing a postorder::performing a postorder
tree class breadth-first::tree class breadth-first
class breadth-first traversal::class breadth-first traversal
traversal in code::traversal in code
provide an implementation::provide an implementation
breadth-first traversal algorithm::breadth-first traversal algorithm
tree class recall::tree class recall
queue of positions::queue of positions
positions to manage::positions to manage
manage the traversal::manage the traversal
process our implementation::process our implementation
class from section::class from section
adt would suffice::adt would suffice
suffice inorder traversal::suffice inorder traversal
traversal for binary::traversal for binary
trees the preorder::trees the preorder
breadth-first traversal algorithms::breadth-first traversal algorithms
algorithms are applicable::algorithms are applicable
include their implementations::include their implementations
class those methods::class those methods
methods are inherited::methods are inherited
abstract binarytree class::abstract binarytree class
dependent tree classes::dependent tree classes
develop the inorder::develop the inorder
applies to binary::applies to binary
include its definition::include its definition
technique to implement::technique to implement
implement an inorder::implement an inorder
generate a breadth-first::generate a breadth-first
fringe = linkedqueue::fringe = linkedqueue
remove from front::remove from front
report this position::report this position
children to back::children to back
back of queue::back of queue
queue code fragment::queue code fragment
generate an inorder::generate an inorder
def subtree inorder::def subtree inorder
left child exists::left child exists
traverse its subtree::traverse its subtree
right child exists::right child exists
yield other code::yield other code
class by overriding::class by overriding
overriding the positions::overriding the positions
override inherited version::override inherited version
version to make::version to make
inorder the default::inorder the default
default code fragment::default code fragment
defining the binarytree.position::defining the binarytree.position
positions are reported::positions are reported
reported using inorder::reported using inorder
demonstrate several representative::demonstrate several representative
including some customizations::including some customizations
standard traversal algorithms::standard traversal algorithms
traversal algorithms table::traversal algorithms table
table of contents::table of contents
represent the hierarchical::represent the hierarchical
produce a table::produce a table
tree from figure::tree from figure
displayed in figure::displayed in figure
element per line::element per line
line ; part::line ; part
attractive presentation produced::attractive presentation produced
produced by indenting::produced by indenting
indenting each element::indenting each element
tree a similar::tree a similar
display the contents::display the contents
paper paper title::paper paper title
paper title title::paper title title
title title abstract::title title abstract
title abstract abstract::title abstract abstract
based on depth::based on depth
tree the unindented::tree the unindented
produce the presentation::produce the presentation
presentation of figure::presentation of figure
indent each element::indent each element
number of spaces::number of spaces
element s depth::element s depth
element was unindented::element was unindented
replace the body::replace the body
work to produce::work to produce
produce the preorder::produce the preorder
preorder traversal runs::preorder traversal runs
analysis of section::analysis of section
calls to depth::calls to depth
incur a hidden::incur a hidden
hidden cost making::hidden cost making
making a call::making a call
call to depth::call to depth
noted when analyzing::noted when analyzing
analyzing the algorithm::analyzing the algorithm
height1 in section::height1 in section
trees a preferred::trees a preferred
approach to producing::approach to producing
producing an indented::producing an indented
redesign a top-down::redesign a top-down
recursion that includes::recursion that includes
includes the current::includes the current
implementation is provided::implementation is provided
runs in worst-case::runs in worst-case
takes to print::takes to print
strings of increasing::strings of increasing
def preorder indent::def preorder indent
print preorder representation::print preorder representation
representation of subtree::representation of subtree
depth for indentation::depth for indentation
recursion for printing::recursion for printing
printing indented version::printing indented version
started with form::started with form
form preorder indent::form preorder indent
numbering was embedded::numbering was embedded
traversal to display::traversal to display
display the structure::display the structure
display the tree::display the tree
international 2.2.1 canada::international 2.2.1 canada
2.2.2 s america::2.2.2 s america
labels are implicit::labels are implicit
tree a label::tree a label
position to accomplish::position to accomplish
accomplish the task::accomplish the task
add a representation::add a representation
list of zero-indexed::list of zero-indexed
convert those numbers::convert those numbers
numbers to oneindexed::numbers to oneindexed
form when printing::form when printing
avoid the inefficiency::avoid the inefficiency
inefficiency of duplicating::inefficiency of duplicating
duplicating such lists::duplicating such lists
lists when sending::lists when sending
list before making::list before making
making further recursive::making further recursive
calls in order::calls in order
order to leave::order to leave
leave no trace::leave no trace
block of code::block of code
code must remove::code must remove
remove the extraneous::remove the extraneous
list before completing::list before completing
completing its task::completing its task
task an implementation::task an implementation
def preorder label::def preorder label
print labeled representation::print labeled representation
labels are one-indexed::labels are one-indexed
entries are zero-indexed::entries are zero-indexed
printing an indented::printing an indented
indented and labeled::indented and labeled
preorder traversal parenthetic::preorder traversal parenthetic
traversal parenthetic representations::traversal parenthetic representations
reconstruct a general::reconstruct a general
indentation or numbered::indentation or numbered
concise string representations::concise string representations
representations of trees::representations of trees
representation the parenthetic::representation the parenthetic
parenthetic string representation::parenthetic string representation
denote string concatenation::denote string concatenation
breaks are cosmetic::breaks are cosmetic
essentially a preorder::essentially a preorder
produce the additional::produce the additional
implementation of preorder::implementation of preorder
position s children::position s children
produced the python::produced the python
python function parenthesize::python function parenthesize
traversal that prints::traversal that prints
print parenthesized representation::print parenthesized representation
end avoids trailing::end avoids trailing
avoids trailing newline::avoids trailing newline
determine proper separator::determine proper separator
recur on child::recur on child
include closing parenthesis::include closing parenthesis
closing parenthesis code::closing parenthesis code
parenthesis code fragment::parenthesis code fragment
function that prints::function that prints
prints parenthetic string::prints parenthetic string
tree computing disk::tree computing disk
computing disk space::computing disk space
internal positions representing::internal positions representing
positions representing directories::positions representing directories
directories and leaves::directories and leaves
leaves representing files::leaves representing files
files in fact::files in fact
back in chapter::back in chapter
examined the topic::examined the topic
topic of file::topic of file
gave an implementation::gave an implementation
algorithm for computing::algorithm for computing
computing the disk::computing the disk
computation of disk::computation of disk
space is emblematic::space is emblematic
compute the total::compute the total
implementation of postorder::implementation of postorder
visits the position::visits the position
previous positions represent::previous positions represent
positions represent children::positions represent children
recursive disk space::recursive disk space
space was allocated::space was allocated
mechanism for children::mechanism for children
children to return::children to return
parent as part::parent as part
process a custom::process a custom
disk space problem::disk space problem
level of recursion::level of recursion
providing a return::providing a return
def disk space::def disk space
return total disk::return total disk
total disk space::total disk space
space for subtree::space for subtree
subtotal = p.element::subtotal = p.element
child s space::child s space
space to subtotal::space to subtotal
return subtotal code::return subtotal code
subtotal code fragment::subtotal code fragment
tree we assume::tree we assume
tree element reports::tree element reports
reports the local::reports the local
8.4.6 euler tours::8.4.6 euler tours
template method pattern::template method pattern
section 8.4.5 demonstrate::section 8.4.5 demonstrate
demonstrate the great::demonstrate the great
power of recursive::power of recursive
recursive tree traversals::recursive tree traversals
capture the range::capture the range
range of computations::range of computations
computations we desire::computations we desire
initial work performed::initial work performed
performed before recurring::performed before recurring
recurring on subtrees::recurring on subtrees
additional work performed::additional work performed
two possible recursions::two possible recursions
develop a custom::develop a custom
adapt the recursive::adapt the recursive
principles of object-oriented::principles of object-oriented
object-oriented programming introduced::object-oriented programming introduced
introduced in section::introduced in section
section 2.1.1 include::section 2.1.1 include
2.1.1 include adaptability::2.1.1 include adaptability
adaptability and reusability::adaptability and reusability
framework for implementing::framework for implementing
tree traversals based::tree traversals based
euler tour traversal::euler tour traversal
traversal the euler::traversal the euler
viewing the edges::viewing the edges
tree the complexity::tree the complexity
edge to unify::edge to unify
unify the concept::unify the concept
concept of preorder::concept of preorder
two notable visits::two notable visits
pre visit occurs::pre visit occurs
occurs when first::occurs when first
reaching the position::reaching the position
passes immediately left::passes immediately left
visualization a post::visualization a post
post visit occurs::post visit occurs
walk later proceeds::walk later proceeds
trees the process::trees the process
easily be viewed::easily be viewed
visit and post::visit and post
node with element::node with element
two contiguous subtours::two contiguous subtours
traversing that position::traversing that position
position s left::position s left
traversing the right::traversing the right
subtree the pseudo-code::subtree the pseudo-code
perform the pre::perform the pre
pre visit action::pre visit action
tour the subtree::tour the subtree
perform the post::perform the post
post visit action::post visit action
eulertour for performing::eulertour for performing
performing an euler::performing an euler
tree the template::tree the template
pattern to provide::pattern to provide
provide a framework::provide a framework
reusable and adaptable::reusable and adaptable
interesting object-oriented software::interesting object-oriented software
object-oriented software design::object-oriented software design
software design pattern::software design pattern
pattern the template::pattern the template
method pattern describes::method pattern describes
describes a generic::describes a generic
generic computation mechanism::generic computation mechanism
application by redefining::application by redefining
redefining certain steps::redefining certain steps
primary algorithm calls::primary algorithm calls
algorithm calls auxiliary::algorithm calls auxiliary
calls auxiliary functions::calls auxiliary functions
hooks at designated::hooks at designated
define two separate::define two separate
two separate hooks::two separate hooks
traversals our implementation::traversals our implementation
class that manages::class that manages
manages the process::manages the process
defines trivial definitions::defines trivial definitions
customized by defining::customized by defining
defining a subclass::defining a subclass
eulertour and overriding::eulertour and overriding
hooks to provide::hooks to provide
provide specialized behavior::provide specialized behavior
specialized behavior python::specialized behavior python
behavior python implementation::behavior python implementation
implementation our implementation::implementation our implementation
class is provided::class is provided
primary recursive process::primary recursive process
process is defined::process is defined
nonpublic tour method::nonpublic tour method
method a tour::method a tour
instance is created::instance is created
created by sending::created by sending
sending a reference::sending a reference
calling the public::calling the public
public execute method::public execute method
beings the tour::beings the tour
tour and returns::tour and returns
returns a final::returns a final
class for performing::class for performing
performing euler tour::performing euler tour
previsit and hook::previsit and hook
overridden by subclasses::overridden by subclasses
prepare an euler::prepare an euler
euler tour template::euler tour template
tree = tree::tree = tree
tree being traversed::tree being traversed
return self tree::return self tree
perform the tour::perform the tour
tour and return::tour and return
return any result::return any result
result from post::result from post
visit of root::visit of root
return self tour::return self tour
start the recursion::start the recursion
tour of subtree::tour of subtree
position of current::position of current
node being visited::node being visited
list of indices::list of indices
indices of children::indices of children
children on path::children on path
path from root::path from root
add new index::add new index
index to end::index to end
end of path::end of path
path before recursion::path before recursion
child s subtree::child s subtree
remove extraneous index::remove extraneous index
index from end::index from end
def hook previsit::def hook previsit
def hook postvisit::def hook postvisit
pass code fragment::pass code fragment
eulertour base class::eulertour base class
base class providing::base class providing
providing a framework::providing a framework
framework for performing::framework for performing
euler tour traversals::euler tour traversals
experience of customizing::experience of customizing
traversals for sample::traversals for sample
sample applications section::sample applications section
eulertour for maintaining::eulertour for maintaining
maintaining the recursive::maintaining the recursive
provide a mechanism::provide a mechanism
level to return::level to return
return a value::return a value
method hook previsit::method hook previsit
discussion of code::discussion of code
value is expected::value is expected
function method hook::function method hook
method hook postvisit::method hook postvisit
traversed the first::traversed the first
first three parameters::first three parameters
previsit the final::previsit the final
list of objects::list of objects
provided as return::provided as return
choose to initialize::choose to initialize
initialize and maintain::initialize and maintain
maintain additional state::maintain additional state
form of instance::form of instance
euler tour framework::euler tour framework
framework to demonstrate::framework to demonstrate
demonstrate the flexibility::demonstrate the flexibility
revisit the sample::revisit the sample
applications from section::applications from section
indented preorder traversal::indented preorder traversal
produced by code::produced by code
eulertour that produces::eulertour that produces
produces an indented::produces an indented
indented preorder list::indented preorder list
started by creating::started by creating
creating an instance::creating an instance
invoking its execute::invoking its execute
tour = preorderprintindentedtour::tour = preorderprintindentedtour
akin to code::akin to code
produces a labeled::produces a labeled
labeled and indented::labeled and indented
elements to produce::elements to produce
produce the parenthetic::produce the parenthetic
achieved with code::achieved with code
define a subclass::define a subclass
subclass that overrides::subclass that overrides
previsit and postvisit::previsit and postvisit
path and path::path and path
print opening parenthesis::print opening parenthesis
print closing parenthesis::print closing parenthesis
eulertour that prints::eulertour that prints
prints a parenthetic::prints a parenthetic
invoke a method::invoke a method
hooks the public::hooks the public
eulertour class serves::eulertour class serves
task of computing::task of computing
eulertour subclass shown::eulertour subclass shown
call to execute::call to execute
simply add space::simply add space
eulertour that computes::eulertour that computes
computes disk space::computes disk space
trees the euler::trees the euler
tree in section::tree in section
introduced the concept::introduced the concept
pattern in designing::pattern in designing
designing the eulertour::designing the eulertour
class that class::class that class
class provided methods::class provided methods
provided methods hook::provided methods hook
methods hook previsit::methods hook previsit
overridden to customize::overridden to customize
customize a tour::customize a tour
tour in code::tour in code
provide a binaryeulertour::provide a binaryeulertour
specialization that includes::specialization that includes
includes an additional::includes an additional
additional hook invisit::additional hook invisit
subtree is traversed::subtree is traversed
traversed our implementation::traversed our implementation
replaces the original::replaces the original
original tour utility::original tour utility
utility to specialize::utility to specialize
visit taking place::visit taking place
sole left child::sole left child
sole right child::sole right child
update with results::update with results
results of recursions::results of recursions
def hook invisit::def hook invisit
overridden code fragment::overridden code fragment
binaryeulertour base class::binaryeulertour base class
providing a specialized::providing a specialized
tour for binary::tour for binary
trees the original::trees the original
original eulertour base::original eulertour base
tree to demonstrate::tree to demonstrate
develop a subclass::develop a subclass
subclass that computes::subclass that computes
computes a graphical::computes a graphical
geometry is determined::geometry is determined
algorithm that assigns::algorithm that assigns
common in computer::common in computer
graphics that xcoordinates::graphics that xcoordinates
xcoordinates increase left::xcoordinates increase left
right and y-coordinates::right and y-coordinates
y-coordinates increase top::y-coordinates increase top
top to bottom::top to bottom
upper left corner::upper left corner
computer screen code::computer screen code
screen code fragment::screen code fragment
subclass that implements::subclass that implements
algorithm for assigning::algorithm for assigning
tree we adapt::tree we adapt
adapt the binaryeulertour::adapt the binaryeulertour
framework by introducing::framework by introducing
introducing additional state::introducing additional state
count instance variable::count instance variable
variable that represents::variable that represents
represents the number::represents the number
performed the x-coordinate::performed the x-coordinate
position is set::position is set
class for computing::class for computing
call the parent::call the parent
count of processed::count of processed
serialized by count::serialized by count
y-coordinate is depth::y-coordinate is depth
processed nodes code::processed nodes code
nodes code fragment::nodes code fragment
class that computes::class that computes
original tree supports::original tree supports
tree supports setx::tree supports setx
setx and sety::setx and sety
represent the structure::represent the structure
support for constructing::support for constructing
constructing such trees::constructing such trees
displaying and evaluating::displaying and evaluating
evaluating the arithmetic::evaluating the arithmetic
represents our expressiontree::represents our expressiontree
class is defined::class is defined
subclass of linkedbinarytree::subclass of linkedbinarytree
mutators to construct::mutators to construct
construct such trees::construct such trees
trees each internal::trees each internal
node must store::node must store
store a string::store a string
string that defines::string that defines
defines a binary::defines a binary
leaf must store::leaf must store
store a numeric::store a numeric
representing a numeric::representing a numeric
build arbitrarily complex::build arbitrarily complex
arbitrarily complex expression::arbitrarily complex expression
complex expression trees::complex expression trees
trees for compound::trees for compound
compound arithmetic expressions::compound arithmetic expressions
class to support::class to support
support two basic::support two basic
two basic forms::two basic forms
forms of initialization::forms of initialization
create a tree::create a tree
tree storing string::tree storing string
structures of existing::structures of existing
existing expressiontree instances::existing expressiontree instances
class formally inherits::class formally inherits
inherits from linkedbinarytree::inherits from linkedbinarytree
defined in section::defined in section
root to create::root to create
create an initial::create an initial
storing the token::storing the token
perform run-time checking::perform run-time checking
parameters to determine::parameters to determine
invoked the one-parameter::invoked the one-parameter
inherited attach method::inherited attach method
method to incorporate::method to incorporate
incorporate the structure::incorporate the structure
trees as subtrees::trees as subtrees
composing a parenthesized::composing a parenthesized
parenthesized string representation::parenthesized string representation
representation a string::representation a string
existing expression tree::existing expression tree
expression tree instance::expression tree instance
produced by displaying::produced by displaying
displaying tree elements::displaying tree elements
opening and closing::opening and closing
closing parentheses inserted::closing parentheses inserted
support a special::support a special
special str method::special str method
efficient to first::efficient to first
build a sequence::build a sequence
sequence of individual::sequence of individual
discussion of composing::discussion of composing
strings in section::strings in section
implementation of str::implementation of str
recursive method named::recursive method named
method named parenthesize::method named parenthesize
named parenthesize recur::named parenthesize recur
recur that appends::recur that appends
appends a series::appends a series
series of strings::series of strings
list these methods::list these methods
methods are included::methods are included
included in code::included in code
create an expression::create an expression
single parameter form::single parameter form
return string representation::return string representation
sequence of piecewise::sequence of piecewise
strings to compose::strings to compose
def parenthesize recur::def parenthesize recur
append piecewise representation::append piecewise representation
subtree to resulting::subtree to resulting
trees expression tree::trees expression tree
expression tree evaluation::expression tree evaluation
evaluation the numeric::evaluation the numeric
calculate the result::calculate the result
computation that position::computation that position
position designates pseudo-code::position designates pseudo-code
algorithm evaluate recur::algorithm evaluate recur
leaf then return::leaf then return
return the value::return the value
recur for evaluating::recur for evaluating
evaluating the expression::evaluating the expression
expression tree rooted::expression tree rooted
implement this algorithm::implement this algorithm
python expressiontree class::python expressiontree class
provide a public::provide a public
public evaluate method::public evaluate method
invoked on instance::invoked on instance
nonpublic evaluate recur::nonpublic evaluate recur
evaluate recur method::evaluate recur method
method that computes::method that computes
computes the value::computes the value
return the numeric::return the numeric
return self evaluate::return self evaluate
def evaluate recur::def evaluate recur
result of subtree::result of subtree
element is numeric::element is numeric
return left val::return left val
val + right::val + right
val right val::val right val
val # treat::val # treat
multiplication code fragment::multiplication code fragment
support for evaluating::support for evaluating
evaluating an expressiontree::evaluating an expressiontree
building an expression::building an expression
tree the constructor::tree the constructor
functionality for combining::functionality for combining
combining existing trees::combining existing trees
trees to build::trees to build
build larger expression::build larger expression
larger expression trees::larger expression trees
question still remains::question still remains
construct a tree::construct a tree
tree that represents::tree that represents
represents an expression::represents an expression
automate this process::automate this process
bottom-up construction algorithm::bottom-up construction algorithm
first be tokenized::first be tokenized
numbers are treated::numbers are treated
parenthesized the algorithm::parenthesized the algorithm
push that string::push that string
create a single-node::create a single-node
single-node expression tree::single-node expression tree
tree t storing::tree t storing
pop the top::pop the top
top three items::top three items
represent a subexpression::represent a subexpression
push the resulting::push the resulting
stack we repeat::stack we repeat
stand-alone function named::stand-alone function named
function named build::function named build
named build expression::named build expression
build expression tree::build expression tree
produces and returns::produces and returns
assuming the input::assuming the input
def build expression::def build expression
returns an expressiontree::returns an expressiontree
list as stack::list as stack
push the operator::push the operator
symbol in chapter::symbol in chapter
introduced the tree::introduced the tree
tree data structure::tree data structure
structure and demonstrated::structure and demonstrated
demonstrated a variety::demonstrated a variety
variety of applications::variety of applications
applications one important::applications one important
described on page::described on page
search tree structure::search tree structure
implement a sorted::implement a sorted
raise a keyerror::raise a keyerror
keyerror ; implemented::keyerror ; implemented
implemented with getitem::implemented with getitem
replacing the existing::replacing the existing
item with key::item with key
implemented with setitem::implemented with setitem
setitem method del::setitem method del
remove from map::remove from map
implemented with delitem::implemented with delitem
method the sorted::method the sorted
sorted map adt::sorted map adt
map adt includes::map adt includes
adt includes additional::adt includes additional
includes additional functionality::includes additional functionality
iteration reports keys::iteration reports keys
keys in sorted::keys in sorted
supporting additional searches::supporting additional searches
excellent data structure::excellent data structure
structure for storing::structure for storing
order relation defined::order relation defined
position p storing::position p storing
storing a key-value::storing a key-value
matter of convenience::matter of convenience
diagram the values::diagram the values
affect the placement::affect the placement
placement of items::placement of items
search tree figure::search tree figure
tree with integer::tree with integer
keys we omit::keys we omit
omit the display::omit the display
order of items::order of items
search trees navigating::search trees navigating
navigating a binary::navigating a binary
tree we begin::tree we begin
begin by demonstrating::begin by demonstrating
tree hierarchically represents::tree hierarchically represents
represents the sorted::represents the sorted
placement of keys::placement of keys
search tree assures::search tree assures
search tree visits::search tree visits
tree visits positions::tree visits positions
positions in increasing::positions in increasing
visited in order::visited in order
subtree by induction::subtree by induction
recursive inorder traversal::recursive inorder traversal
subtree will produce::subtree will produce
subtree in increasing::subtree in increasing
search tree property::search tree property
subtree have keys::subtree have keys
keys strictly smaller::keys strictly smaller
visiting the root::visiting the root
extends the increasing::extends the increasing
order of keys::order of keys
subtree will visit::subtree will visit
visit those keys::visit those keys
keys in increasing::keys in increasing
executed in linear::executed in linear
produce a sorted::produce a sorted
map in linear::map in linear
provide nonrecursive descriptions::provide nonrecursive descriptions
descriptions of operations::descriptions of operations
binary search relative::binary search relative
keys our generic::keys our generic
generic binary tree::generic binary tree
adt from chapter::adt from chapter
allowing direct navigation::allowing direct navigation
navigation using methods::navigation using methods
provide additional navigation::provide additional navigation
additional navigation based::additional navigation based
last position chapter::last position chapter
trees the first::trees the first
located by starting::located by starting
starting a walk::starting a walk
root and continuing::root and continuing
exists by symmetry::exists by symmetry
position is reached::position is reached
reached by repeated::reached by repeated
steps rightward starting::steps rightward starting
root the successor::root the successor
successor is leftmost::successor is leftmost
computing the successor::computing the successor
tree the rationale::tree the rationale
process is based::process is based
correspondence of proposition::correspondence of proposition
flow of control::flow of control
inorder traversal returns::inorder traversal returns
parent s subtree::parent s subtree
traversal is complete::traversal is complete
ancestor is reached::ancestor is reached
recursion is returning::recursion is returning
ancestor is found::ancestor is found
successor a symmetric::successor a symmetric
defined to determine::defined to determine
determine the predecessor::determine the predecessor
single downward walk::single downward walk
single upward walk::single upward walk
position will execute::position will execute
leave a formal::leave a formal
fact to exercise::fact to exercise
intuitively the upward::intuitively the upward
upward and downward::upward and downward
downward paths mimic::downward paths mimic
paths mimic steps::paths mimic steps
argument was made::argument was made
namesake search algorithm::namesake search algorithm
attempt to locate::attempt to locate
tree by viewing::tree by viewing
denote as p.key::denote as p.key
answer is equal::answer is equal
answer is greater::answer is greater
search for key::search for key
describe this approach::describe this approach
approach in code::approach in code
key k occurs::key k occurs
call to treesearch::call to treesearch
key is found::key is found
getitem map operation::getitem map operation
operation would return::operation would return
treesearch algorithm returns::treesearch algorithm returns
returns the final::returns the final
final position explored::final position explored
search trees analysis::search trees analysis
analysis of binary::analysis of binary
binary tree searching::binary tree searching
searching the analysis::searching the analysis
simple algorithm treesearch::simple algorithm treesearch
treesearch is recursive::treesearch is recursive
recursive and executes::recursive and executes
executes a constant::executes a constant
number of primitive::number of primitive
call each recursive::call each recursive
call of treesearch::call of treesearch
treesearch is made::treesearch is made
positions is bounded::positions is bounded
illustrating the running::illustrating the running
tree the figure::tree the figure
figure uses standard::figure uses standard
subroutine for implementing::subroutine for implementing
implementing the getitem::implementing the getitem
setitem and delitem::setitem and delitem
locate an existing::locate an existing
key to implement::key to implement
implement sorted map::implement sorted map
sorted map operations::sorted map operations
combine this search::combine this search
search with traversal::search with traversal
operations will run::operations will run
run in worst-case::run in worst-case
tree with height::tree with height
implement the find::implement the find
find range method::find range method
number of items::number of items
number of entries::number of entries
chapter we show::chapter we show
show various strategies::show various strategies
strategies to maintain::strategies to maintain
maintain an upper::maintain an upper
insertions and deletions::insertions and deletions
algorithms for inserting::algorithms for inserting
inserting or deleting::inserting or deleting
insertion the map::insertion the map
assuming the map::assuming the map
map is nonempty::map is nonempty
item s existing::item s existing
value is reassigned::value is reassigned
search the binary::search the binary
property is sustained::property is sustained
search would expect::search would expect
node with item::node with item
algorithm for inserting::algorithm for inserting
inserting a key-value::inserting a key-value
finding the position::finding the position
position to insert::position to insert
insert is shown::insert is shown
search trees deletion::search trees deletion
trees deletion deleting::trees deletion deleting
deleting an item::deleting an item
bit more complex::bit more complex
complex than inserting::complex than inserting
delete an item::delete an item
begin by calling::begin by calling
find the position::find the position
storing an item::storing an item
search is successful::search is successful
implemented when introducing::implemented when introducing
introducing update methods::introducing update methods
declared a nonpublic::declared a nonpublic
deletes a node::deletes a node
precisely the desired::precisely the desired
behavior it removes::behavior it removes
removes the item::removes the item
map while maintaining::map while maintaining
assuring the upkeep::assuring the upkeep
create a hole::create a hole
two orphaned children::two orphaned children
notation of section::notation of section
deleted at position::deleted at position
immediately preceding key::immediately preceding key
property is satisfied::property is satisfied
delete the node::delete the node
searching and insertion::searching and insertion
involves the traversal::involves the traversal
single path downward::single path downward
moving an item::moving an item
removing a node::removing a node
path and promoting::path and promoting
item to delete::item to delete
trees 11.1.4 python::trees 11.1.4 python
11.1.4 python implementation::11.1.4 python implementation
implementation in code::implementation in code
define a treemap::define a treemap
implements the sorted::implements the sorted
tree in fact::tree in fact
general we support::general we support
standard map operations::standard map operations
additional sorted map::additional sorted map
positional operations including::positional operations including
treemap class takes::treemap class takes
class takes advantage::class takes advantage
advantage of multiple::advantage of multiple
inheritance for code::inheritance for code
class of section::class of section
positional binary tree::positional binary tree
class from code::class from code
10.1.4 to provide::10.1.4 to provide
key-value composite item::key-value composite item
collections.mutablemapping abstract base::collections.mutablemapping abstract base
class we subclass::class we subclass
subclass the nested::subclass the nested
support more specific::support more specific
adt we define::adt we define
define several nonpublic::define several nonpublic
notably a subtree::notably a subtree
method that corresponds::method that corresponds
algorithm of code::algorithm of code
returns a position::returns a position
nearest key greater::nearest key greater
public find position::public find position
adt when making::adt when making
making structural modifications::making structural modifications
rely on nonpublic::rely on nonpublic
inherited methods remain::inherited methods remain
methods remain nonpublic::methods remain nonpublic
violated through misuse::violated through misuse
code is peppered::code is peppered
peppered with calls::peppered with calls
calls to presumed::calls to presumed
presumed methods named::presumed methods named
methods named rebalance::methods named rebalance
named rebalance insert::named rebalance insert
access these methods::access these methods
serve as hooks::serve as hooks
hooks for future::hooks for future
balancing search trees::balancing search trees
code code fragment::code code fragment
beginning of treemap::beginning of treemap
treemap class including::treemap class including
class including redefined::class including redefined
including redefined position::including redefined position
redefined position class::redefined position class
class and nonpublic::class and nonpublic
nonpublic search utilities::nonpublic search utilities
search utilities code::search utilities code
utilities code fragment::utilities code fragment
accessor code fragment::accessor code fragment
methods are omitted::methods are omitted
sake of brevity::sake of brevity
brevity code fragment::brevity code fragment
tree an analysis::tree an analysis
maximum path length::maximum path length
tree is proportional::tree is proportional
implementations of map::implementations of map
map operations getitem::map operations getitem
delitem each begin::delitem each begin
subtree search utility::subtree search utility
utility which traces::utility which traces
traces a path::traces a path
node to determine::node to determine
continue the search::continue the search
search similar paths::search similar paths
paths are traced::paths are traced
computing a position::computing a position
position s inorder::position s inorder
predecessor or successor::predecessor or successor
successor we note::successor we note
method has worst-case::method has worst-case
successive calls made::successive calls made
call to iter::call to iter
require a total::require a total
edge is traced::edge is traced
amortized time bounds::amortized time bounds
bounds a similar::bounds a similar
call to find::call to find
range that reports::range that reports
reports s results::reports s results
search trees table::search trees table
worst-case running times::worst-case running times
denote the current::denote the current
reported by find::reported by find
map a binary::map a binary
height is small::height is small
yields logarithmic-time performance::yields logarithmic-time performance
ordered list implementation::ordered list implementation
worst-case configuration arises::worst-case configuration arises
items with keys::items with keys
increasing or decreasing::increasing or decreasing
decreasing order figure::decreasing order figure
tree with linear::tree with linear
obtained by inserting::obtained by inserting
entries with keys::entries with keys
series of insertions::series of insertions
insertions and removals::insertions and removals
removals of keys::removals of keys
keys has expected::keys has expected
requiring careful mathematical::requiring careful mathematical
careful mathematical language::careful mathematical language
sophisticated probability theory::sophisticated probability theory
theory in applications::theory in applications
guarantee the random::guarantee the random
nature of updates::nature of updates
rely on variations::rely on variations
variations of search::variations of search
guarantee a worst-case::guarantee a worst-case
balanced search trees::balanced search trees
assume a random::assume a random
standard binary search::standard binary search
search tree supports::search tree supports
expected running times::expected running times
basic map operations::basic map operations
sequences of operations::sequences of operations
operations may lead::operations may lead
explore four search::explore four search
four search tree::four search tree
search tree algorithms::search tree algorithms
algorithms that provide::algorithms that provide
provide stronger performance::provide stronger performance
stronger performance guarantees::stronger performance guarantees
four data structures::four data structures
based on augmenting::based on augmenting
augmenting a standard::augmenting a standard
tree with occasional::tree with occasional
operations to reshape::operations to reshape
reshape the tree::reshape the tree
tree and reduce::tree and reduce
reduce its height::reduce its height
height the primary::height the primary
operation to rebalance::operation to rebalance
rebalance a binary::rebalance a binary
rotate a child::rotate a child
diagrammed in figure::diagrammed in figure
tree a rotation::tree a rotation
performed to transform::performed to transform
transform the left::transform the left
keys in subtree::keys in subtree
maintain the binary::maintain the binary
relink the subtree::relink the subtree
subtree of items::subtree of items
keys that lie::keys that lie
labeled t2 represents::labeled t2 represents
subtree of position::subtree of position
single rotation modifies::single rotation modifies
modifies a constant::modifies a constant
number of parent-child::number of parent-child
binary tree representation::binary tree representation
modified while maintaining::modified while maintaining
maintaining the search::maintaining the search
performed to avoid::performed to avoid
avoid highly unbalanced::avoid highly unbalanced
highly unbalanced tree::highly unbalanced tree
unbalanced tree configurations::unbalanced tree configurations
formation of figure::formation of figure
reduces the depth::reduces the depth
node in subtree::node in subtree
increasing the depth::increasing the depth
depth of nodes::depth of nodes
nodes in subtree::nodes in subtree
combined to provide::combined to provide
provide broader rebalancing::provide broader rebalancing
restructure the subtree::restructure the subtree
order to reduce::order to reduce
illustrated in figure::illustrated in figure
describing a trinode::describing a trinode
rename the positions::rename the positions
four possible orientations::four possible orientations
relabeling the trinode::relabeling the trinode
trinode restructuring replaces::trinode restructuring replaces
makes the children::makes the children
four previous children::four previous children
maintaining the inorder::maintaining the inorder
grandparent z output::grandparent z output
single or double::single or double
replace the subtree::replace the subtree
trinode restructuring operation::trinode restructuring operation
tree in practice::tree in practice
tree t caused::tree t caused
implemented through case::implemented through case
