applied mathematics letters::applied mathematics letters
vertex::vertex
leicht::leicht
blondel::blondel
view::view
comparison::comparison
smaller::smaller
depicted::depicted
light::light
observation::observation
generalize::generalize
equation::equation
construct::construct
denote::denote
stage::stage
xrs::xrs
r,i::r,i
normalization::normalization
byp::byp
general::general
conditions::conditions
choose::choose
initialize::initialize
all-ones::all-ones
vector::vector
nal::nal
limit::limit
iterations::iterations
i,r::i,r
j,s::j,s
explore::explore
coupled::coupled
immediately::immediately
suggest::suggest
source::source
terminal::terminal
nition::nition
introduces::introduces
coupling::coupling
cardinality::cardinality
denoted::denoted
convenient::convenient
represent::represent
adjacency::adjacency
pair::pair
matrices::matrices
matrix::matrix
terminus::terminus
ned::ned
representation::representation
properties::properties
das::das
dat::dat
ypq::ypq
diagonal::diagonal
out-degree::out-degree
entry::entry
in-degree::in-degree
takes::takes
ykl::ykl
i,t::i,t
i,s::i,s
assembled::assembled
frobenius::frobenius
norm::norm
required::required
notation::notation
process::process
represented::represented
eqs::eqs
written::written
concisely::concisely
bsyk::bsyk
introduce::introduce
vec::vec
operator::operator
stacks::stacks
columns::columns
gxk::gxk
expressed::expressed
denotes::denotes
kronecker::kronecker
product::product
determining::determining
converges::converges
concatenating::concatenating
vectors::vectors
yields::yields
single::single
msk::msk
theorem::theorem
summarizes::summarizes
key::key
condition::condition
arbitrarily::arbitrarily
gx0::gx0
positive::positive
constant::constant
unique::unique
nonnegative::nonnegative
proof::proof
first::first
note::note
result::result
presented::presented
symmetric::symmetric
non-negative::non-negative
perron::perron
root::root
componentwise::componentwise
dimension::dimension
provided::provided
eigenvalue::eigenvalue
sequence::sequence
b0k2::b0k2
orthogonal::orthogonal
projector::projector
invariant::invariant
subspace::subspace
apply::apply
directly::directly
expand::expand
explicit::explicit
expressions::expressions
abk::abk
kabkk2::kabkk2
terms::terms
k::-NONE-
applying::applying
requirement::requirement
table::table
discussed::discussed
section::section
higher::higher
greater::greater
observe::observe
semi-de::semi-de
nite::nite
eigenvalues::eigenvalues
applies::applies
factor::factor
appears::appears
eliminated::eliminated
embedded::embedded
equal::equal
row::row
reasonable::reasonable
choice::choice
priori::priori
2y0::2y0
constraint::constraint
satis::satis
simultaneous::simultaneous
sequential::sequential
dif::dif
cult::cult
show::show
analogous::analogous
argument::argument
procedures::procedures
yield::yield
focus::focus
expression::expression
dbs::dbs
dbt::dbt
standard::standard
calculation::calculation
differs::differs
inclusion::inclusion
additional::additional
serve::serve
amplify::amplify
highly::highly
connected::connected
theory::theory
identi::identi
cation::cation
kind::kind
optimal::optimal
i.e::i.e
enormous::enormous
amount::amount
academic::academic
treatment::treatment
pattern::pattern
data::data
mining::mining
communities::communities
computationally::computationally
cient::cient
exist::exist
classes::classes
sought::sought
problems::problems
assignment::assignment
column::column
matched::matched
optimality::optimality
criteria::criteria
found::found
polynomial::polynomial
authors::authors
obtained::obtained
approximations::approximations
nding::nding
minimizes::minimizes
objective::objective
pku::pku
umeyama::umeyama
solves::solves
square::square
almohamad::almohamad
duffuaa::duffuaa
doubly::doubly
stochastic::stochastic
programming::programming
formulation::formulation
order::order
obtain::obtain
permutation::permutation
hungarian::hungarian
originally::originally
formulated::formulated
kuhn::kuhn
computes::computes
weight::weight
sets::sets
previous::previous
suggests::suggests
illustrative::illustrative
identify::identify
location::location
subgraph::subgraph
larger::larger
empirically::empirically
generating::generating
speci::speci
probability::probability
erd::erd
enyi::enyi
random::random
selected::selected
induced::induced
computed::computed
described::described
finally::finally
subset::subset
original::original
maximizes::maximizes
matlab::matlab
utilized::utilized
borlin::borlin
implementation::implementation
requires::requires
padding::padding
extra::extra
entries::entries
ctitious::ctitious
negative::negative
number::number
success::success
counted::counted
match::match
accounting::accounting
lower::lower
bound::bound
equally::equally
matches::matches
correspond::correspond
marked::marked
failures::failures
rst::rst
test::test
concept::concept
15-node::15-node
variably::variably
sized::sized
subgraphs::subgraphs
variable::variable
connectivity::connectivity
parameter::parameter
value::value
sizes::sizes
average::average
proportion::proportion
successful::successful
recorded::recorded
depicts::depicts
expected::expected
correct::correct
randomly::randomly
assigned::assigned
computation::computation
hats::hats
party::party
guests::guests
leave::leave
room::room
redistributed::redistributed
imagine::imagine
stolen::stolen
leaving::leaving
remaining::remaining
distributed::distributed
analogously::analogously
size::size
function::function
plotted::plotted
details::details
performance::performance
probabilities::probabilities
averaging::averaging
trials::trials
bounds::bounds
scenarios::scenarios
subsections::subsections
encouraging::encouraging
similarity::similarity-
substantial::substantial
improvement::improvement
interesting::interesting
features::features
observed::observed
connectivities::connectivities
lead::lead
poorer::poorer
achieved::achieved
entire::entire
performs::performs
correctly::correctly
type::type
labels::labels
side::side
attributes::attributes
proteins::proteins
constitute::constitute
protein::protein
interaction::interaction
network::network
classi::classi
attempting::attempting
align::align
species::species
share::share
preceding::preceding
topology::topology
similarities::similarities
including::including
identity::identity
penalize::penalize
reward::reward
improve::improve
augment::augment
assigning::assigning
retaining::retaining
histograms::histograms
out::out
averages::averages
drawn::drawn
vertical::vertical
lines::lines
scenario::scenario
derived::derived
dashed::dashed
increasing::increasing
improves::improves
happen::happen
asymmetric::asymmetric
evenly::evenly
communicated::communicated
label::label
ers::ers
reference::reference
uniquely::uniquely
recognition::recognition
model::model
labeled::labeled
removed::removed
carrying::carrying
fewer::fewer
uniquely-labeled::uniquely-labeled
edited::edited
setting::setting
mismatched::mismatched
continues::continues
histogram::histogram
line::line
solid::solid
curve::curve
represents::represents
varied::varied
horizontal::horizontal
steadily::steadily
increased::increased
conclusions::conclusions
exploring::exploring
contained::contained
ongoing::ongoing
kinds::kinds
inferred::inferred
patterns::patterns
pairs::pairs
isomorphic::isomorphic
self-similarity::self-similarity
exploratory::exploratory
tests::tests
mapping::mapping
communicate::communicate
bipartite::bipartite
incidence::incidence
projective::projective
planes::planes
projections::projections
dominant::dominant
eigenspace::eigenspace
reveal::reveal
varying::varying
numbers::numbers
subspaces::subspaces
strictly::strictly
encode::encode
characterized::characterized
machinery::machinery
spectral::spectral
worthwhile::worthwhile
arise::arise
natural::natural
phenomenon::phenomenon
recall::recall
motivation::motivation
improved::improved
tool::tool
automatic::automatic
synonym::synonym
extraction::extraction
dictionary::dictionary
intriguing::intriguing
functionally::functionally
maps::maps
interactions::interactions
compared::compared
explored::explored
holme::holme
huss::huss
predict::predict
cerevisiae::cerevisiae
finding::finding
inspire::inspire
heuristics::heuristics
acknowledgments::acknowledgments
material::material
supported::supported
part::part
national::national
foundation::foundation
graduate::graduate
fellowship::fellowship
opinions::opinions
ndings::ndings
recommendations::recommendations
publication::publication
necessarily::necessarily
ect::ect
views::views
support::support
dod::dod
afosr::afosr
uri::uri
architectures::architectures
secure::secure
robust::robust
infrastructures::infrastructures
f49620::f49620-
01-1-0365::01-1-0365
led::led
stanford::stanford
university::university
vincent::vincent
paul::paul
van::van
dooren::dooren
helpful::helpful
comments::comments
discussion::discussion
references::references
j.r::j.r
ullman::ullman
assoc::assoc
comput::comput
mach::mach
pelillo::pelillo
replicator::replicator
equations::equations
cliques::cliques
neural::neural
bunke::bunke
error::error
correcting::correcting
uence::uence
underlying::underlying
cost::cost
ieee::ieee
trans::trans
anal::anal
intell::intell
m.l::m.l
fernandez::fernandez
valiente::valiente
metric::metric
combining::combining
supergraph::supergraph
recognit::recognit
lett::lett
free::free
trees::trees
maximal::maximal
monotone::monotone
game::game
dynamics::dynamics
j.m::j.m
authoritative::authoritative
hyperlinked::hyperlinked
environment::environment
acm::acm
garcia-molina::garcia-molina
rahm::rahm
versatile::versatile
schema::schema
proceedings::proceedings
18th::18th
international::international
conference::conference
san::san
jose::jose
structural-context::structural-context
eighth::eighth
knowledge::knowledge
discovery::discovery
edmonton::edmonton
deriving::deriving
analysis::analysis
metabolic::metabolic
pathways::pathways
bioinformatics::bioinformatics
suppl::suppl
newman::newman
phys::phys
rev::rev
gajardo::gajardo
senellart::senellart
searching::searching
siam::siam
eigendecomposition::eigendecomposition
weighted::weighted
naval::naval
logistic::logistic
quarterly::quarterly
publ::publ
math::math
assignprob.zip::assignprob.zip
central::central
file::file
exchange::exchange
http::http
leexchange::NNP
last::last
accessed::accessed
caps::caps
robbers::robbers
expect::expect
college::college
masters::masters
thesis::thesis
dept::dept
role-similarity::role-similarity
functional::functional
prediction::prediction
networked::networked
systems::systems
yeast::yeast
proteome::proteome
roy::roy
soc::soc
interface::interface
