list from wikipedia::list from wikipedia
open data structures::open data structures
lists * patent::lists * patent
patent was granted::patent was granted
data structures types::data structures types
types * collection::types * collection
collection * container::collection * container
abstract * associative::abstract * associative
array * double-ended::array * double-ended
double-ended priority queue::double-ended priority queue
queue * double-ended::queue * double-ended
queue * list::queue * list
list * map::list * map
map * multimap::map * multimap
multimap * priority::multimap * priority
queue * queue::queue * queue
queue * set::queue * set
set * multiset::set * multiset
multiset * disjoint::multiset * disjoint
sets * stack::sets * stack
arrays * bit::arrays * bit
array * circular::array * circular
buffer * dynamic::buffer * dynamic
array * hash::array * hash
table * hashed::table * hashed
hashed array tree::hashed array tree
tree * sparse::tree * sparse
sparse array linked::sparse array linked
linked * association::linked * association
list * linked::list * linked
list * skip::list * skip
list * unrolled::list * unrolled
list * xor::list * xor
xor linked list::xor linked list
linked list trees::linked list trees
trees * b-tree::trees * b-tree
b-tree * binary::b-tree * binary
binary search tree::binary search tree
avl * red-black::avl * red-black
red-black * self-balancing::red-black * self-balancing
self-balancing * splay::self-balancing * splay
splay * heap::splay * heap
heap * binary::heap * binary
binary * binomial::binary * binomial
binomial * fibonacci::binomial * fibonacci
fibonacci * r-tree::fibonacci * r-tree
hilbert * trie::hilbert * trie
trie * hash::trie * hash
hash tree graphs::hash tree graphs
graphs * binary::graphs * binary
binary decision diagram::binary decision diagram
diagram * directed::diagram * directed
directed acyclic graph::directed acyclic graph
graph * directed::graph * directed
directed acyclic word::directed acyclic word
acyclic word graph::acyclic word graph
graph * list::graph * list
list of data::list of data
data structures authority::data structures authority
structures authority control::structures authority control
control * gnd::control * gnd
lists * data::lists * data
linked list::linked list
free encyclopedia::free encyclopedia
article includes::article includes
sources remain::sources remain
remain unclear::remain unclear
insufficient inline::insufficient inline
inline citations::inline citations
precise citations::precise citations
computer science::computer science
data structure::data structure
structure consisting::structure consisting
simplest form::simplest form
complex variants::complex variants
variants add::variants add
additional links::additional links
efficient insertion::efficient insertion
integer value::integer value
last node::last node
list linked::list linked
linked lists::linked lists
common data::common data
data structures::data structures
common abstract::common abstract
abstract data::abstract data
data types::data types
including lists::including lists
data type::data type
associative arrays::associative arrays
principal benefit::principal benefit
conventional array::conventional array
list elements::list elements
entire structure::entire structure
data items::data items
source code::source code
program linked::program linked
constant number::constant number
list traversal::list traversal
random access::random access
efficient indexing::efficient indexing
basic operations::basic operations
separate node::separate node
node reference::node reference
list structure::list structure
sequential scanning::sequential scanning
basic concepts::basic concepts
sentinel nodes::sentinel nodes
empty lists::empty lists
hash linking::hash linking
list handles::list handles
combining alternatives::combining alternatives
dynamic arrays::dynamic arrays
linear lists::linear lists
list operations::list operations
language support::language support
external storage::external storage
access lists::access lists
related data::related data
external links::external links
links advantages::links advantages
dynamic data::dynamic data
needed memory::needed memory
deletion node::deletion node
node operations::node operations
linear data::linear data
reduce access::reduce access
memory overhead::memory overhead
overhead disadvantages::overhead disadvantages
pointers requiring::pointers requiring
extra storage::extra storage
storage space::storage space
sequential access::sequential access
individual elements::individual elements
reverse traversing::reverse traversing
navigate backwards::navigate backwards
allocating space::allocating space
back pointer::back pointer
pointer history::pointer history
allen newell::allen newell
cliff shaw::cliff shaw
rand corporation::rand corporation
primary data::primary data
information processing::information processing
processing language::processing language
language ipl::language ipl
early artificial::early artificial
artificial intelligence::artificial intelligence
intelligence programs::intelligence programs
logic theory::logic theory
theory machine::theory machine
general problem::general problem
problem solver::problem solver
computer chess::computer chess
chess program::chess program
program reports::program reports
work appeared::work appeared
ire transactions::ire transactions
information theory::information theory
conference proceedings::conference proceedings
including proceedings::including proceedings
western joint::western joint
joint computer::joint computer
computer conference::computer conference
first unesco::first unesco
international conference::international conference
now-classic diagram::now-classic diagram
diagram consisting::diagram consisting
blocks representing::blocks representing
representing list::representing list
list nodes::list nodes
arrows pointing::arrows pointing
successive list::successive list
nodes appears::nodes appears
proc wjcc::proc wjcc
acm turing::acm turing
turing award::turing award
basic contributions::basic contributions
human cognition::human cognition
list processing::list processing
machine translation::machine translation
natural language::natural language
language processing::language processing
processing led::processing led
led victor::led victor
victor yngve::victor yngve
massachusetts institute::massachusetts institute
comit programming::comit programming
programming language::programming language
computer research::computer research
language entitled::language entitled
mechanical translation::mechanical translation
list processor::list processor
recursive functions::recursive functions
symbolic expressions::symbolic expressions
major data::major data
data representation::data representation
established bert::established bert
mit lincoln::mit lincoln
lincoln laboratory::lincoln laboratory
laboratory published::laboratory published
review article::review article
article entitled::article entitled
computer languages::computer languages
symbol manipulation::symbol manipulation
human factors::human factors
list approach::list approach
list-processing computer::list-processing computer
operating systems::operating systems
systems developed::systems developed
technical systems::technical systems
systems consultants::systems consultants
west lafayette::west lafayette
lafayette indiana::lafayette indiana
chapel hill::chapel hill
north carolina::north carolina
file structures::file structures
directory entry::directory entry
entry pointed::entry pointed
first sector::first sector
succeeding portions::succeeding portions
traversing pointers::traversing pointers
pointers systems::pointers systems
technique included::technique included
included flex::included flex
variant developed::variant developed
smoke signal::smoke signal
signal broadcasting::signal broadcasting
operating system::operating system
file system::file system
system catalog::system catalog
directory structure::directory structure
next link::next link
next pointer::next pointer
remaining fields::remaining fields
first node::first node
derived languages::derived languages
head node::head node
data field::data field
nodes operations::nodes operations
lists include::lists include
include insertion::include insertion
main article::main article
next-node link::next-node link
link field::link field
field pointing::field pointing
link forward::link forward
link backward::link backward
previous node::previous node
single link::single link
technique requires::technique requires
bit operations::bit operations
high-level languages::high-level languages
link fields::link fields
data records::data records
special cases::special cases
efficient algorithms::efficient algorithms
separate case::separate case
case circular::case circular
circular linked::circular linked
null reference::null reference
special value::special value
common convention::common convention
vice versa::vice versa
versa sentinel::versa sentinel
sentinel node::sentinel node
extra sentinel::extra sentinel
first data::first data
data record::data record
convention simplifies::convention simplifies
list-handling algorithms::list-handling algorithms
data elements::data elements
node empty::node empty
empty list::empty list
nodes hash::nodes hash
physically part::physically part
separate array::separate array
records list::records list
list algorithms::list algorithms
input lists::input lists
resulting lists::resulting lists
list handle::list handle
last nodes::last nodes
nodes combining::nodes combining
alternatives listed::alternatives listed
computer programming::computer programming
list data::list data
common tradeoffs::common tradeoffs
tradeoffs involving::tradeoffs involving
list structures::list structures
structures linked::structures linked
list array::list array
dynamic array::dynamic array
array balanced::array balanced
balanced tree::balanced tree
tree random::tree random
access list::access list
list indexing::list indexing
last element::last element
middle search::middle search
wasted space::wasted space
current number::current number
space reserved::space reserved
expensive operation::expensive operation
operation linked::operation linked
arrays insertion::arrays insertion
specific point::specific point
insertion point::insertion point
constant-time operation::constant-time operation
random locations::random locations
moving half::moving half
worst case::worst case
total memory::total memory
underlying array::underlying array
array data::array data
appending elements::appending elements
middle positions::middle positions
prohibitive costs::prohibitive costs
data moving::data moving
maintain contiguity::maintain contiguity
avoid wasting::avoid wasting
fixed-size array::fixed-size array
constant-time random::constant-time random
optimal locality::optimal locality
data caching::data caching
storage needed::storage needed
small data::small data
boolean values::boolean values
storage overhead::storage overhead
array requires::array requires
small amount::small amount
control data::control data
allocate memory::allocate memory
memory pools::memory pools
hybrid solutions::hybrid solutions
representations unrolled::representations unrolled
list node::list node
decreasing memory::decreasing memory
references cdr::references cdr
cdr coding::cdr coding
replacing references::replacing references
actual data::actual data
data referenced::data referenced
referencing record::referencing record
josephus problem::josephus problem
election method::election method
people stand::people stand
circle starting::circle starting
predetermined person::predetermined person
nth person::nth person
members close::members close
person wins::person wins
connected nodes::connected nodes
delete nodes::delete nodes
deleting nodes::deleting nodes
list ranking::list ranking
ranking problem::ranking problem
problem concerns::problem concerns
efficient conversion::efficient conversion
list representation::list representation
conventional computer::conventional computer
aparallel algorithm::aparallel algorithm
similar memory::similar memory
memory access::memory access
access patterns::access patterns
space overhead::space overhead
deletion operations::deletion operations
expensive due::expensive due
tree manipulations::tree manipulations
maintain balance::maintain balance
balance schemes::balance schemes
schemes exist::schemes exist
balanced state::balanced state
avl trees::avl trees
red-black trees::red-black trees
circular lists::circular lists
singly-linked linear::singly-linked linear
lists offer::lists offer
linear list::linear list
recursive data::recursive data
smaller object::smaller object
reverse order::reverse order
simple recursive::simple recursive
recursive algorithms::recursive algorithms
iterative commands::iterative commands
recursive solutions::recursive solutions
extra arguments::extra arguments
complicated base::complicated base
base cases::base cases
cases linear::cases linear
common final::common final
final portion::final portion
terminal portion::terminal portion
list remains::list remains
persistent data::persistent data
end-sentinel nodes::end-sentinel nodes
non-circular lists::non-circular lists
end-sentinel node::end-sentinel node
proper list::proper list
list ends::list ends
special node::special node
cdr links::cdr links
links point::links point
lisp procedure::lisp procedure
fancy variants::fancy variants
circular list::circular list
extra cost::extra cost
double-linked lists::double-linked lists
lists require::lists require
elementary operations::elementary operations
easy sequential::easy sequential
algorithms require::algorithms require
require access::require access
natural option::natural option
represent arrays::represent arrays
round-robin order::round-robin order
node serves::node serves
easy access::easy access
circular structure::circular structure
single pointer::single pointer
operation consists::operation consists
nodes applying::nodes applying
distinct lists::distinct lists
lists joins::lists joins
simplest representation::simplest representation
empty circular::empty circular
thing makes::thing makes
makes sense::makes sense
null pointer::null pointer
special case::special case
empty linear::empty linear
fewer special::fewer special
previous nodes::previous nodes
nodes exist::nodes exist
end-of-list tests::end-of-list tests
end-of-list inside::end-of-list inside
sorted lists::sorted lists
data fields::data fields
fields set::fields set
output node::output node
special handling::special handling
extra space::extra space
short lists::short lists
single sentinel::single sentinel
data nodes::data nodes
list consists::list consists
last data::last data
data node::data node
dummy node::dummy node
previous assignments::previous assignments
makes algorithms::makes algorithms
removing nodes::removing nodes
lists in-place::lists in-place
end-of-list marker::end-of-list marker
node data::node data
variable firstnode::variable firstnode
list record::list record
record node::record node
node node::node node
record list::record list
node firstnode::node firstnode
firstnode points::firstnode points
code inserts::code inserts
existing node::existing node
diagram shows::diagram shows
works inserting::works inserting
function insertafter::function insertafter
node newnode::node newnode
insert newnode::insert newnode
node.next node.next::node.next node.next
newnode inserting::newnode inserting
list requires::list requires
separate function::separate function
updating firstnode::updating firstnode
firstnode function::firstnode function
function insertbeginning::function insertbeginning
list list::list list
insert node::insert node
current first::current first
list.firstnode list.firstnode::list.firstnode list.firstnode
diagram demonstrates::diagram demonstrates
previous element::previous element
element function::element function
function removeafter::function removeafter
remove node::remove node
node past::node past
node.next.next destroy::node.next.next destroy
destroy obsoletenode::destroy obsoletenode
obsoletenode function::obsoletenode function
function removebeginning::function removebeginning
node obsoletenode::node obsoletenode
list.firstnode.next point::list.firstnode.next point
point past::point past
past deleted::past deleted
deleted node::deleted node
node destroy::node destroy
obsoletenode notice::obsoletenode notice
iterate backwards::iterate backwards
efficient insertbefore::efficient insertbefore
removebefore operations::removebefore operations
entire first::entire first
first list::first list
list appending::list appending
lisp family::lisp family
append procedure::append procedure
dummy element::dummy element
found atlist.firstnode.next::found atlist.firstnode.next
continuous circle::continuous circle
node elements::node elements
doubly linked::doubly linked
lists benefit::lists benefit
full list::full list
list beginning::list beginning
avoid storing::avoid storing
storing firstnode::storing firstnode
special representation::special representation
non-empty list::non-empty list
case algorithms::case algorithms
non-empty circular::non-empty circular
code iterates::code iterates
list starting::list starting
function iterate::function iterate
somenode null::somenode null
null node::null node
node.value node::node.value node
node somenode::node somenode
somenode notice::somenode notice
function inserts::function inserts
empty function::empty function
newnode suppose::newnode suppose
variable pointing::variable pointing
newnode linked::newnode linked
create links::create links
replacing pointers::replacing pointers
array indices::array indices
integer fields::integer fields
fields indicating::fields indicating
supported,parallel arrays::supported,parallel arrays
record entry::record entry
array integer::array integer
integer prev::integer prev
previous entry::previous entry
real balance::real balance
first element::first element
element integer::element integer
integer listhead::integer listhead
listhead entry::listhead entry
entry records::entry records
array index::array index
prev field::prev field
first entry::first entry
list notice::list notice
listfree integer::listfree integer
free list::free list
display names::display names
account balance::account balance
list print::list print
.balance print::.balance print
print entry::print entry
approach include::approach include
small list::small list
array indexes::array indexes
full pointer::full pointer
general store::general store
dynamic memory::dynamic memory
memory allocators::memory allocators
excessive amount::excessive amount
overhead storage::overhead storage
node allocated::node allocated
allocation overhead::allocation overhead
pre-allocated array::pre-allocated array
memory allocation::memory allocation
free memory::free memory
memory block::memory block
desired size::desired size
main disadvantage::main disadvantage
private memory::private memory
memory space::memory space
increases complexity::increases complexity
large array::large array
finding space::finding space
general memory::general memory
memory pool::memory pool
adding elements::adding elements
amortized constant::amortized constant
pool leaves::pool leaves
maximum size::maximum size
created language::created language
programming languages::programming languages
lists built::lists built
functional languages::functional languages
consor cons::consor cons
cons cell::cons cell
cons cells::cons cells
primary purpose::primary purpose
support abstract::support abstract
list adts::list adts
building linked::building linked
internal storage::internal storage
making access::making access
simplifying memory::simplifying memory
memory management::memory management
machine code::machine code
multiple linked::multiple linked
multiple lists::multiple lists
including multiple::including multiple
separate routines::separate routines
delete cells::delete cells
cells based::cells based
store references::store references
list package::list package
languages involves::languages involves
initial fields::initial fields
separate structures::separate structures
generic structure::generic structure
minimum amount::minimum amount
data shared::data shared
generic routines::generic routines
minimal structure::minimal structure
list type::list type
type operations::type operations
specific data::specific data
message parsing::message parsing
parsing routines::parsing routines
message type::message type
type field::type field
correct routine::correct routine
specific type::specific type
record member::record member
family member::family member
string firstname::string firstname
integer age::integer age
record family::record family
string lastname::string lastname
string address::string address
member members::member members
members head::members head
complete list::complete list
families start::families start
families list::families list
null loop::null loop
families print::families print
print information::print information
family amember::family amember
amember null::amember null
members print::members print
member amember::member amember
amember.next afamily::amember.next afamily
generic link::generic link
link structure::link structure
structure node::structure node
pointer data::pointer data
generic pointer::generic pointer
member string::member string
family string::family string
node members::node members
famnode null::famnode null
famnode.data extract::famnode.data extract
extract family::extract family
node print::node print
family memnode::family memnode
family members::family members
memnode null::memnode null
members amember::members amember
memnode.data extract::memnode.data extract
extract member::extract member
member memnode::member memnode
memnode.next famnode::memnode.next famnode
famnode.next notice::famnode.next notice
extra step::extra step
proper data::proper data
parametric types::parametric types
storage works::storage works
member needed::member needed
arbitrary number::arbitrary number
specific number::specific number
specific element::specific element
linear search::linear search
primary disadvantages::primary disadvantages
variants discussed::variants discussed
simple ways::simple ways
improve search::improve search
unordered list::unordered list
decreasing average::decreasing average
average search::average search
move-to-front heuristic::move-to-front heuristic
creating simple::creating simple
simple caches::simple caches
common approach::common approach
efficient external::efficient external
external data::external data
red-black tree::red-black tree
nodes multiple::nodes multiple
single list::single list
fast random::fast random
skew binary::skew binary
binary random::binary random
access listusing::access listusing
binary number::binary number
number system::number system
special properties::special properties
worst-case constant::worst-case constant
worst-case logarithmic::worst-case logarithmic
likewise support::likewise support
tail operations::tail operations
simple extension::simple extension
additional operation::additional operation
minimum element::minimum element
entire list::entire list
clarification needed::clarification needed
mutation complexities::mutation complexities
skip list::skip list
list augmented::list augmented
large numbers::large numbers
process continues::process continues
bottom layer::bottom layer
actual list::actual list
binary tree::binary tree
data values::data values
improved cache::improved cache
cache performance::cache performance
reduced memory::reduced memory
hash table::hash table
heap shares::heap shares
ordering properties::ordering properties
previous data::previous data
data indexes::data indexes
current data::current data
self-organizing list::self-organizing list
list rearranges::list rearranges
nodes based::nodes based
reduces search::reduces search
search times::search times
data retrieval::data retrieval
accessed nodes::accessed nodes
list notes::list notes
data required::data required
per-array constant::per-array constant
per-dimension constant::per-dimension constant
bytes footnotes::bytes footnotes
algorithm design::algorithm design
list predecessor::list predecessor
singly-linked list::singly-linked list
gerald kruse::gerald kruse
lecture notes::lecture notes
complexity trade-offs::complexity trade-offs
trade-offs juniata::trade-offs juniata
juniata college::juniata college
college spring::college spring
bjarne stroustrup::bjarne stroustrup
number crunching::number crunching
resizable arrays::resizable arrays
technical report::technical report
functional random-access::functional random-access
random-access lists::random-access lists
functional programming::functional programming
computer architecture::computer architecture
acm press::acm press
ch20 data::ch20 data
big java::big java
cays horstmann::cays horstmann
national institute::national institute
technology retrieved::technology retrieved
practical data::practical data
java collections::java collections
collections framework::collections framework
mcgraw hill::mcgraw hill
algorithms mit::algorithms mit
mit press::mit press
fundamental algorithms::fundamental algorithms
list basics::list basics
stanford university::stanford university
university retrieved::university retrieved
addison wesley::addison wesley
practical introduction::practical introduction
algorithm analysis::algorithm analysis
prentice hall::prentice hall
maurice vincent::maurice vincent
self-compiling compiler::self-compiling compiler
simple list-processing::simple list-processing
list-processing language::list-processing language
annual review::annual review
automatic programming::automatic programming
pergamon press::pergamon press
national conference::national conference
linux kernel::linux kernel
kernel linked::kernel linked
list explained::list explained
wikimedia commons::wikimedia commons
media related::media related
university computer::university computer
science library::science library
list problems::list problems
open data::open data
structures types::structures types
container abstract::container abstract
associative array::associative array
double-ended priority::double-ended priority
priority queue::priority queue
double-ended queue::double-ended queue
disjoint sets::disjoint sets
stack arrays::stack arrays
bit array::bit array
circular buffer::circular buffer
hashed array::hashed array
array tree::array tree
sparse array::sparse array
array linked::array linked
association list::association list
list trees::list trees
binary search::binary search
search tree::search tree
tree graphs::tree graphs
binary decision::binary decision
decision diagram::decision diagram
acyclic graph::acyclic graph
acyclic word::acyclic word
word graph::word graph
structures authority::structures authority
authority control::authority control
linked::linked
list::list
wikipedia::wikipedia
free::free
encyclopedia::encyclopedia
article::article
includes::includes
references::references
sources::sources
remain::remain
unclear::unclear
insufficient::insufficient
inline::inline
citations::citations
improve::improve
introducing::introducing
precise::precise
march::march
computer::computer
science::science
data::data
structure::structure
consisting::consisting
group::group
nodes::nodes
represent::represent
sequence::sequence
simplest::simplest
form::form
node::node
composed::composed
reference::reference
words::words
link::link
complex::complex
variants::variants
add::add
additional::additional
links::links
efficient::efficient
insertion::insertion
removal::removal
elements::elements
position::position
two::two
fields::fields
integer::integer
value::value
last::last
terminator::terminator
signify::signify
end::end
lists::lists
common::common
structures::structures
implement::implement
abstract::abstract
types::types
including::including
type::type
stacks::stacks
queues::queues
associative::associative
arrays::arrays
s-expressions::s-expressions
uncommon::uncommon
directly::directly
basis::basis
implementation::implementation
principal::principal
benefit::benefit
conventional::conventional
array::array
easily::easily
inserted::inserted
removed::removed
reallocation::reallocation
reorganization::reorganization
entire::entire
items::items
stored::stored
contiguously::contiguously
memory::memory
disk::disk
declared::declared
source::source
code::code
compiling::compiling
running::running
program::program
point::point
constant::constant
number::number
operations::operations
previous::previous
added::added
maintained::maintained
traversal::traversal
hand::hand
simple::simple
random::random
access::access
indexing::indexing
basic::basic
obtaining::obtaining
assuming::assuming
separate::separate
finding::finding
datum::datum
locating::locating
place::place
require::require
sequential::sequential
scanning::scanning
advantages::advantages
disadvantages::disadvantages
contents::contents
hide::hide
history::history
concepts::concepts
nomenclature::nomenclature
singly::singly
doubly::doubly
multiply::multiply
circular::circular
sentinel::sentinel
empty::empty
hash::hash
linking::linking
handles::handles
combining::combining
alternatives::alternatives
tradeoffs::tradeoffs
dynamic::dynamic
linear::linear
circularly::circularly
linearly::linearly
6.1.1::6.1.1
6.2.1::6.2.1
algorithms::algorithms
language::language
support::support
internal::internal
external::external
storage::storage
speeding::speeding
search::search
related::related
notes::notes
footnotes::footnotes
edit::edit
allocating::allocating
needed::needed
deletion::deletion
implemented::implemented
executed::executed
reduce::reduce
expand::expand
real::real
overhead::overhead
tendency::tendency
due::due
pointers::pointers
requiring::requiring
extra::extra
space::space
read::read
order::order
beginning::beginning
inherently::inherently
incontiguously::incontiguously
greatly::greatly
increasing::increasing
required::required
individual::individual
difficulties::difficulties
arise::arise
reverse::reverse
traversing::traversing
instance::instance
cumbersome::cumbersome
navigate::navigate
backwards::backwards
easier::easier
wasted::wasted
back::back
pointer::pointer
developed::developed
allen::allen
newell::newell
cliff::cliff
shaw::shaw
herbert::herbert
simon::simon
rand::rand
corporation::corporation
primary::primary
information::information
processing::processing
ipl::ipl
authors::authors
develop::develop
early::early
artificial::artificial
intelligence::intelligence
programs::programs
logic::logic
theory::theory
machine::machine
general::general
problem::problem
solver::solver
chess::chess
reports::reports
work::work
appeared::appeared
ire::ire
transactions::transactions
conference::conference
proceedings::proceedings
western::western
joint::joint
first::first
unesco::unesco
international::international
now-classic::now-classic
diagram::diagram
blocks::blocks
representing::representing
arrows::arrows
pointing::pointing
successive::successive
appears::appears
programming::programming
proc::proc
wjcc::wjcc
february::february
recognized::recognized
acm::acm
turing::turing
award::award
made::made
contributions::contributions
psychology::psychology
human::human
cognition::cognition
translation::translation
natural::natural
led::led
victor::victor
yngve::yngve
massachusetts::massachusetts
institute::institute
technology::technology
mit::mit
comit::comit
research::research
field::field
linguistics::linguistics
report::report
entitled::entitled
mechanical::mechanical
lisp::lisp
standing::standing
processor::processor
created::created
john::john
mccarthy::mccarthy
published::published
design::design
paper::paper
communications::communications
recursive::recursive
functions::functions
symbolic::symbolic
expressions::expressions
computation::computation
part::part
major::major
1960s::1960s
utility::utility
languages::languages
representation::representation
established::established
bert::bert
green::green
lincoln::lincoln
laboratory::laboratory
review::review
symbol::symbol
manipulation::manipulation
factors::factors
electronics::electronics
summarized::summarized
approach::approach
comparison::comparison
list-processing::list-processing
bobrow::bobrow
raphael::raphael
april::april
operating::operating
systems::systems
technical::technical
consultants::consultants
originally::originally
west::west
lafayette::lafayette
indiana::indiana
chapel::chapel
hill::hill
north::north
carolina::carolina
file::file
directory::directory
entry::entry
pointed::pointed
sector::sector
succeeding::succeeding
portions::portions
located::located
technique::technique
included::included
flex::flex
motorola::motorola
cpu::cpu
mini-flex::mini-flex
flex9::flex9
variant::variant
tsc::tsc
marketed::marketed
smoke::smoke
signal::signal
broadcasting::broadcasting
california::california
manner::manner
tss::NNP
system::system
ibm::ibm
machines::machines
double::double
catalog::catalog
similar::similar
unix::unix
files::files
directories::directories
extend::extend
depth::depth
record::record
element::element
node::node
address::address
next::next
pointer::pointer
remaining::remaining
data::data
information::information
value::value
cargo::cargo
payload::payload
head::head
tail::tail
rest::rest
head::head
derived::derived
cdr::cdr
pronounced::pronounced
could-er::could-er
payload::payload
car::car
points::points
line::line
performed::performed
include::include
main::main
doubly::doubly
next-node::next-node
previous::previous
forward::forward
backwards::backwards
prev::prev
forward::forward
backward::backward
xor-linking::xor-linking
single::single
requires::requires
ability::ability
bit::bit
addresses::addresses
high-level::high-level
multiply::multiply
connect::connect
set::set
records::records
e.g::e.g
department::department
date::date
birth::birth
special::special
cases::cases
fact::fact
orders::orders
opposite::opposite
leads::leads
simpler::simpler
treated::treated
case::case
null::null
lack::lack
convention::convention
make::make
circular::circular
circularly::circularly
open::open
linear::linear
change::change
occurs::occurs
tail::tail
front::front
vice::vice
versa::versa
implementations::implementations
sentinel::sentinel
dummy::dummy
simplifies::simplifies
accelerates::accelerates
list-handling::list-handling
ensuring::ensuring
safely::safely
dereferenced::dereferenced
physically::physically
referenced::referenced
indices::indices
address::address
pointer::pointer
handle::handle
manipulate::manipulate
input::input
return::return
resulting::resulting
context::context
word::word
means::means
handle::handle
situations::situations
convenient::convenient
consists::consists
listed::listed
arbitrarily::arbitrarily
combined::combined
sentinels::sentinels
choices::choices
method::method
suited::suited
circumstances::circumstances
problems::problems
involving::involving
balanced::balanced
tree::tree
log::log
element::element
unknown::unknown
n::-NONE-
amortized::amortized
updating::updating
middle::middle
average::average
allocates::allocates
count::count
current::current
reserved::reserved
exceeded::exceeded
reallocated::reallocated
possibly::possibly
copied::copied
expensive::expensive
operation::operation
specific::specific
indexed::indexed
constant-time::constant-time
locations::locations
moving::moving
half::half
worst::worst
delete::delete
marking::marking
slot::slot
vacant::vacant
fragmentation::fragmentation
impedes::impedes
performance::performance
iteration::iteration
limited::limited
total::total
eventually::eventually
fill::fill
underlying::underlying
reallocate::reallocate
fragmented::fragmented
cost::cost
averaged::averaged
insertions::insertions
helps::helps
appending::appending
inserting::inserting
removing::removing
positions::positions
carries::carries
prohibitive::prohibitive
costs::costs
maintain::maintain
contiguity::contiguity
resized::resized
avoid::avoid
wasting::wasting
fixed-size::fixed-size
traversed::traversed
direction::direction
makes::makes
unsuitable::unsuitable
applications::applications
index::index
quickly::quickly
heapsort::heapsort
faster::faster
optimal::optimal
locality::locality
referenceand::referenceand
good::good
caching::caching
disadvantage::disadvantage
impractical::impractical
small::small
characters::characters
boolean::boolean
values::values
exceed::exceed
factor::factor
size::size
contrast::contrast
amount::amount
control::control
note::note
slow::slow
allocator::allocator
wasteful::wasteful
allocate::allocate
separately::separately
generally::generally
solved::solved
pools::pools
hybrid::hybrid
solutions::solutions
combine::combine
representations::representations
unrolled::unrolled
store::store
cache::cache
decreasing::decreasing
cdr::cdr
coding::coding
replacing::replacing
actual::actual
extends::extends
referencing::referencing
highlights::highlights
pros::pros
cons::cons
implementing::implementing
resolves::resolves
josephus::josephus
election::election
works::works
people::people
stand::stand
circle::circle
starting::starting
predetermined::predetermined
person::person
times::times
reach::reach
nth::nth
out::out
members::members
close::close
repeat::repeat
process::process
left::left
wins::wins
shows::shows
strengths::strengths
weaknesses::weaknesses
view::view
connected::connected
rearrange::rearrange
poor::poor
remove::remove
finds::finds
deleting::deleting
individually::individually
shifting::shifting
exceptionally::exceptionally
easy::easy
find::find
ranking::ranking
concerns::concerns
conversion::conversion
trivial::trivial
solving::solving
aparallel::aparallel
algorithm::algorithm
complicated::complicated
subject::subject
patterns::patterns
permitting::permitting
taking::taking
manipulations::manipulations
balance::balance
schemes::schemes
exist::exist
trees::trees
automatically::automatically
state::state
avl::avl
red-black::red-black
doubly-linked::doubly-linked
singly-linked::singly-linked
offer::offer
preferable::preferable
smaller::smaller
object::object
reason::reason
merging::merging
enumerating::enumerating
solution::solution
iterative::iterative
commands::commands
adapted::adapted
procedures::procedures
arguments::arguments
base::base
tail-sharing::tail-sharing
final::final
portion::portion
sub-list::sub-list
terminal::terminal
remains::remains
persistent::persistent
true::true
belong::belong
end-sentinel::end-sentinel
shared::shared
non-circular::non-circular
proper::proper
ends::ends
denoted::denoted
nil::nil
car::car
procedure::procedure
anylist::anylist
fancy::fancy
complexity::complexity
efficiency::efficiency
emulated::emulated
variables::variables
double-linked::double-linked
elementary::elementary
fast::fast
directions::directions
insert::insert
option::option
naturally::naturally
corners::corners
polygon::polygon
pool::pool
buffers::buffers
released::released
fifo::fifo
processes::processes
time-shared::time-shared
round-robin::round-robin
serves::serves
queue::queue
split::split
giving::giving
piece::piece
swapping::swapping
applying::applying
distinct::distinct
joins::joins
property::property
quad-edge::quad-edge
face-edge::face-edge
thing::thing
sense::sense
indicating::indicating
choice::choice
test::test
denote::denote
creates::creates
fewer::fewer
simplify::simplify
eliminate::eliminate
end-of-list::end-of-list
tests::tests
setting::setting
unnecessary::unnecessary
inside::inside
loop::loop
sorted::sorted
output::output
handling::handling
short::short
complicate::complicate
creation::creation
simulate::simulate
adding::adding
trick::trick
turning::turning
dummy::dummy
manipulating::manipulating
in-place::in-place
care::care
invalidated::invalidated
assignments::assignments
subtle::subtle
section::section
pseudocode::pseudocode
nullto::nullto
marker::marker
ways::ways
variable::variable
firstnode::firstnode
list.firstnode::list.firstnode
node.data::node.data
node.next::node.next
inserts::inserts
existing::existing
done::done
track::track
function::function
insertafter::insertafter
newnode::newnode
newnode.next::newnode.next
insertbeginning::insertbeginning
similarly::similarly
demonstrates::demonstrates
removeafter::removeafter
past::past
obsoletenode::obsoletenode
node.next.next::node.next.next
destroy::destroy
removebeginning::removebeginning
list.firstnode.next::list.firstnode.next
deleted::deleted
notice::notice
sets::sets
nt::nt
iterate::iterate
insertbefore::insertbefore
removebefore::removebefore
inefficient::inefficient
traverse::traverse
append::append
length::length
asymptotic::asymptotic
family::family
provided::provided
eliminated::eliminated
ensures::ensures
renders::renders
found::found
atlist.firstnode.next::atlist.firstnode.next
continuous::continuous
stores::stores
full::full
storing::storing
lastnode::lastnode
alastnode::alastnode
significantly::significantly
non-empty::non-empty
somenode::somenode
iterates::iterates
node.value::node.value
moved::moved
fail::fail
assumes::assumes
suppose::suppose
create::create
supported,parallel::supported,parallel
prev::prev
string::string
build::build
creating::creating
