keyphrase	tfidf	Frequency Occurance Ratio	cuewords	Contiguous Occurance Ratio	dispersion	Phrase Size	localspan	cscore	keyword
company	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
theem with chair	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
involve certain techniques	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
basically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
slot j monday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
thirty five to fourty	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
raster graphics	0.0	1.41666666667	0.0	5.79057235844	0.0	1	0.15789229125	0.16	True
frame buffer	0.0	1.91666666667	1.0	8.67016041578	0.485946902603	1	0.526462524976	0.4	True
capture through viewing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
special interest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
plane surfaces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
learn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
instance a face fairly	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
memory unit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
scan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
fact started depending largely	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
degree of realism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
number of bits	0.0	0.0	0.0	0.0	1.0	0.0	0.421262952465	0.380391000173	False
huge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
representation of object	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
based animation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
worry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
scope of applications	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
devices into the category	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
tin toy by pixar	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
continues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
incorporated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
mapping	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
ninety eighties	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
bit pixel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
thusday at tweleve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
process of computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
plane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
buffer in the output	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
coming	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
application in art	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
workstation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
short	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
register	0.0	2.66666666667	0.0	13.3333333333	0.0	1	0.0	0.0	False
model those images	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
fundamental	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
structure then the question	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
display cathode ray tube	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
held	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
autonym of this process	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scans for acquiring	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
late	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
random access display	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	True
van dam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
huge amount	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
good	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
augmenting the intensity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
walls	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
association	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
primitives and operations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
project called visible human	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
fantasy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
refresh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics see also motivation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
images the question	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
referred	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
face fairly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
idea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
viewing transformation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
surfaces which would agree	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
event	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics so raster	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
raster points	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
evaluation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
physically based animation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
ninety nineties	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
implicit surfaces	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.04	True
completely computer generated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
reason	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
good aid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
map to this output	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
envelope rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
values can range	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
definition	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
points grid of pixels	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
viewing transformations viewing transformation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
circuit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
studying the rasterisation process	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
refresh it off sixty	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
real image	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
major	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dont	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
number	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
raster graphics shading	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
instances	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
good as as close	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
nineties	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
story	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
eject the laws	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
introduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dft	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
started coming	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
shape is basically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
created character	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
molecular	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics system	0.0	0.333333333333	0.0	0.666666666667	0.0	1	0.0	0.04	False
store	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
muscles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
part	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
kind	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
parts or organs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
determined	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
structure meanings	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
viewing of the scene	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
add functional attributes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
graphics in engineering similarly	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
organs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
sort of emphasized	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
built	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
depending	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
reality augmented	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
cartoon shape	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
map to the intensity	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
hearn and beaker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
differences there are light	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
computer generated animations films	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
representation of various parts	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
coordinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
molecular structures	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
transformation in terms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
situations where i observe	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
raster scan	0.0	0.0	0.0	0.0	0.0	0.0	0.157938757493	0.08	False
physics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dichotic camera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
human project	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
find	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
picture is ten	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
points grid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
visualization virtual reality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
face fairly irregular	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
minute structures	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
computer graphics in engineering	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
pipeline is for converting	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
crt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
atoms of a molecules	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
visible human project	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0633985000288	False
activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
perform the biomechanical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
screen which basically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
pit planes it means	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
close	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
collection of this books	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
arm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
analog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
visualize	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
move and in turn	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
surfaces are basically methods	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
representation for the geometry	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
range of the intensity	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	False
graphics it is interdisciplinary	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
transformations like rotations scaling	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
reason of interest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
conversion of a scene	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
percent of the rate	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
turn includes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
interface	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
reverse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
vision and from graphics	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
continues surface	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
interrogate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
phosphorous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
objects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
apply some transformations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
context	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
collection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics book	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
emphasized in ninety nineties	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
point	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
simple	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
bit planes means	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
motivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
community	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dimensional	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
wise these days	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
line in a reverse	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
first graphics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
popular event	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
transformations	0.0	3.16666666667	0.0	16.6184371259	0.0	1	0.0	0.0	False
buy a book	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
reality multimedia and software	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
data which can capture	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
rendering pipe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
moment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
models using modeling transformation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
rendering rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
understand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
linkages	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
final fantasy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
present that is display	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
process of rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
building tools	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
thusday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
raster graphics so raster	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
earlier was getting map	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scene we have dichotic	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
increase the effective	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
issues involve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
character right moving hand	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
dealing with molecules	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
graphics technology	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
emphasize	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
display pictorial output	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
effective rate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
half and this half	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
assignment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dft lcds	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
viewing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
amount of data	0.0	0.0	0.0	0.0	0.0	0.0	0.157938757493	0.190195500087	False
moving	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
display in this devices	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
displayed on a raster	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scene into an image	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
completely computer generated animation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
call it as mesh	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
person	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
entry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
modeling transformation	0.0	0.0	0.0	0.0	0.0	0.0	0.157938757493	0.12	True
parametric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
things	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
theem	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
observed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
lookup table	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
shape	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	False
graphics more in terms	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
reference keyboard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
tables	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
broadening of computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
motivation the other aspects	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
notion of physically based	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
source	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
continues representation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
interest grow in graphics	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
input	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
transformation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
coating on this screen	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
size of the frame	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
showing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
shading	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	False
bit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
wednesday thusday at tweleve	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
projects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
change of the attributes	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
indication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
popular	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
category of raster	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
essential	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
put the camera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
geometry of the model	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
clipping	0.0	1.0	0.2	3.58496250072	0.0	1	0.0	0.0	True
camera and the attribute	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
methods	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
essential functionality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
activity started	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
back	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
trends	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
special effects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
examples	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
computer graphics book	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
preliminaries computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
rendering of the wordsworth	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
laser	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
showed dense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
worth words	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
augmenting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
foley	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
run	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
processing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
basically this as rendering	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
transformation transformations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
range	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
keyboard mouse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
half scan first	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
primarily	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
frames	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
representation which give	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
broadening of computer graphics	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
question	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
normality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
custom	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
syllabus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
referring to collection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
moving hand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
governs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
registered	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
memory	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
constructed using various model	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
properly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
viewing out	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
scope	0.0	0.75	0.0	2.37744375108	0.0	1	0.0	0.0	False
line	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
find in engineering applications	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
onwards we have real	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
started in this area	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
generating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics many aspects started	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
term is huge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
planes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
elements in computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
visualization of large	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
defined	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
cover	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
geometry but the data	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
engineering	0.0	2.16666666667	0.0	10.184286056	0.0	1	0.0	0.0	False
study computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
image right lets	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
aggregated when i perceive	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
stimulations using this virtual	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scan right one scan	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
calligraphic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
application	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
functionality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphical output	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
elements	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
generated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
biomechanical stimulations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
aggregated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
structure	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
half scan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
application in industry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
required	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
visual	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
instance camera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
depth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
sixty but the range	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
rendering pipe line	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
late ninety	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
organs in human body	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
inverse problem	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
edition therefore referable	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
modeling transformation is basically	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
issues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
point and the connectivity	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
concerned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
realistic rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
fact is constructed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
resources	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
familiar with crt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
email address	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
evaluation are concerned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
image which we display	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
physical log	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
things are put	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
